institution name,"DRVGR2022.Graduation rate, total cohort",HD2022.Degree of urbanization (Urban-centric locale),"EF2022D.Full-time retention rate, 2022",American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total,Cluster
Winona State University,60.0,Town: Distant,76.0,0.2437439064023399,3.5099122521936947,3.4936626584335397,4.289892752681182,0.0324991875203119,82.28794280142996,3.5099122521936947,0.5524861878453038,2.079948001299968,6154,1
Alcorn State University,47.0,Rural: Remote,81.0,0.3068530514831231,0.1022843504943743,94.61302420729628,0.8182748039549949,0.477326968973747,2.216160927378111,0.0,0.0,1.4660756904193657,2933,2
Delta State University,46.0,Town: Remote,64.0,0.1956181533646322,0.4303599374021909,36.11111111111111,2.42566510172144,0.0391236306729264,53.20813771517997,1.4084507042253522,2.895148669796557,3.286384976525822,2556,1
Jackson State University,35.0,City: Midsize,77.0,0.2751230813785114,0.3040834057341442,92.70199826238054,0.3185635679119606,0.1448016217781639,2.635389516362584,0.6805676223573703,0.0,2.9394729220967277,6906,2
University of Mississippi,68.0,Town: Remote,89.0,0.3183856502242152,2.452914798206278,11.75336322869955,4.551569506726457,0.0672645739910313,74.91479820627802,2.349775784753363,0.2286995515695067,3.363228699551569,22300,1
Mississippi University for Women,37.0,Town: Remote,73.0,1.2398460880718256,2.6507054296707997,35.1004702864472,0.8978195810175289,0.0855066267635741,59.21333903377512,0.0,0.0,0.8123129542539546,2339,1
Mississippi Valley State University,26.0,Town: Remote,62.0,0.1596593932943054,0.4789781798829164,84.40659925492284,2.182011708355508,0.3193187865886109,7.397551889302821,0.7982969664715274,4.25758382118148,0.0,1879,2
Mississippi State University,63.0,Town: Remote,81.0,0.525409510353658,1.6468718265707096,15.23687580025608,3.775001103801492,0.0485672656629431,71.98110291845114,2.379796017484216,0.8388891341781094,3.567486423241644,22649,1
University of Southern Mississippi,52.0,City: Small,70.0,0.3918379417418305,1.8482921780275023,26.940706786928875,4.2362856720390365,0.0961111932574301,58.901375129380455,3.556114150524915,0.4361969540144906,3.593079994085465,13526,1
University of Central Missouri,53.0,Town: Distant,72.0,0.2320185614849187,0.953854086104666,5.534072355418063,4.073214746068574,0.1117126407149609,61.19274727163359,3.531838102603764,0.8163616052247142,23.55418063074676,11637,1
Harris-Stowe State University,20.0,City: Large,67.0,0.0,0.5535055350553505,79.88929889298892,3.505535055350553,0.092250922509225,3.4132841328413286,4.1512915129151295,4.520295202952029,3.8745387453874542,1084,2
