institution name,"DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, two or more races","DRVGR2022.Graduation rate, Race/ethnicity unknown","DRVGR2022.Graduation rate, U.S. Nonresident",HD2022.Degree of urbanization (Urban-centric locale),HD2022.Institution size category,Cluster
University of California-San Diego,43.0,92.0,92.0,92.0,74.0,82.0,88.0,87.0,95.0,86.0,City: Large,"20,000 and above",0
University of California-Santa Barbara,86.0,90.0,90.0,85.0,81.0,81.0,88.0,83.0,94.0,84.0,Suburb: Midsize,"20,000 and above",5
University of California-Santa Cruz,83.0,79.0,79.0,80.0,70.0,75.0,77.0,78.0,78.0,75.0,City: Small,"10,000 - 19,999",5
California State University Maritime Academy,100.0,64.0,65.0,60.0,25.0,60.0,74.0,50.0,56.0,0.0,City: Midsize,"Under 1,000",9
California State Polytechnic University-Humboldt,27.0,40.0,45.0,0.0,37.0,40.0,51.0,54.0,57.0,33.0,Town: Remote,"5,000 - 9,999",6
San Diego State University,71.0,80.0,81.0,77.0,74.0,75.0,81.0,77.0,76.0,73.0,City: Large,"20,000 and above",0
San Francisco State University,33.0,63.0,64.0,43.0,48.0,49.0,58.0,52.0,59.0,55.0,City: Large,"20,000 and above",0
San Jose State University,25.0,79.0,79.0,64.0,52.0,59.0,68.0,66.0,71.0,70.0,City: Large,"20,000 and above",0
Sonoma State University,60.0,54.0,54.0,50.0,56.0,60.0,62.0,51.0,54.0,68.0,Suburb: Large,"5,000 - 9,999",4
Adams State University,0.0,43.0,0.0,50.0,9.0,29.0,32.0,28.0,33.0,,Town: Remote,"1,000 - 4,999",6
University of Colorado Denver/Anschutz Medical Campus,33.0,56.0,57.0,0.0,40.0,39.0,43.0,44.0,83.0,58.0,City: Large,"20,000 and above",0
University of Colorado Colorado Springs,40.0,46.0,49.0,17.0,35.0,35.0,46.0,34.0,20.0,57.0,City: Large,"10,000 - 19,999",2
University of Colorado Boulder,57.0,82.0,83.0,67.0,67.0,67.0,76.0,75.0,57.0,72.0,City: Midsize,"20,000 and above",9
Colorado School of Mines,50.0,88.0,87.0,100.0,75.0,75.0,82.0,90.0,100.0,85.0,Suburb: Large,"5,000 - 9,999",5
Colorado State University-Fort Collins,30.0,65.0,68.0,22.0,61.0,62.0,68.0,63.0,70.0,73.0,City: Midsize,"20,000 and above",9
Fort Lewis College,23.0,29.0,29.0,,33.0,34.0,47.0,37.0,55.0,33.0,Town: Distant,"1,000 - 4,999",8
Colorado Mesa University,18.0,29.0,32.0,18.0,12.0,32.0,44.0,30.0,55.0,50.0,City: Small,"5,000 - 9,999",4
